public,performance,q1,q2,q3,q4,q5,q6,q7,q8,q9,age,white,ideology,religion,gender,group,effectiveness,benevolence,redtape,efficiency
0,1,6,7,6,3,3,3,2,6,6,19,1,5,2,1,1,.65255934,.42968112,-1.0519826,-.7180025
0,1,6,5,6,7,7,3,6,6,5,18,1,4,3,1,1,-.046331681,.039820723,.98642761,.31754178
0,1,6,6,6,6,5,4,3,5,6,19,1,2,1,1,1,.28015637,.052567557,.39228013,-.15184441
1,0,6,6,6,6,3,4,4,5,5,21,1,4,3,0,2,.36297861,-.34577668,-.1934997,.02101638
0,0,6,6,6,5,4,2,2,6,6,18,1,3,2,1,0,.21506962,.47502398,-.15991724,-1.0314623
1,0,5,4,5,5,3,4,4,4,4,18,1,4,1,1,2,-.91376692,-.96569341,-.27096787,.021762284
0,0,5,6,6,3,5,6,4,5,5,19,1,4,1,1,0,.13347644,-.32415155,-.58580446,.69013458
1,0,6,6,6,5,5,4,2,5,6,18,0,5,1,1,2,.27759528,.062774278,.17783901,-.38253304
0,0,6,5,4,5,5,3,4,6,6,20,1,4,1,0,0,-.76148659,.57163882,.14554635,-.10959984
1,0,6,7,7,3,6,4,3,4,5,18,1,3,1,1,2,1.1797758,-.87878585,-.24324423,-.12289295
0,1,7,6,4,7,7,4,4,6,7,18,0,3,1,1,1,-.15613249,.85842633,1.222504,.27121025
1,0,6,6,6,5,6,4,4,5,5,18,1,2,1,0,2,.39591455,-.38785797,.3003808,.11601809
1,1,5,5,5,4,5,4,6,4,5,19,0,3,1,1,3,-.50878948,-.66257703,-.23628138,.63243771
0,0,6,6,7,6,4,4,4,6,6,18,1,3,4,1,0,.56528509,.424963,-.055522878,.065600283
1,0,7,7,7,5,5,4,4,5,4,18,1,3,4,1,2,1.479852,-.92919815,-.015977247,.080385573
1,1,6,6,6,5,6,4,3,6,6,18,1,2,1,0,3,.25326586,.44287607,.29420024,-.11018559
0,0,7,7,7,6,7,4,4,7,6,18,1,4,1,0,0,1.2286317,.6834057,.63674909,.16359358
0,1,5,5,6,6,6,4,4,6,6,18,1,2,3,0,1,-.44744101,.53846383,.51278585,.072984755
0,0,6,6,6,2,2,4,4,4,6,19,0,3,3,1,0,.42760313,-.3278251,-1.4854231,.19192402
0,1,7,5,6,2,2,6,6,6,6,19,1,5,1,0,1,.28864059,.48005199,-1.6130557,1.4377071
1,0,7,6,6,5,7,5,3,5,5,20,1,4,1,0,2,.68680477,-.43278307,.69818616,.26844886
0,0,7,5,7,4,5,2,4,7,5,19,1,4,1,0,0,.53091562,.40726623,-.29041988,-.39912611
0,0,6,6,5,5,4,5,4,3,5,19,1,3,4,1,0,.17760125,-1.1326323,-.011201442,.41967291
0,0,5,5,5,4,3,4,4,4,4,23,1,4,4,1,0,-.49662912,-1.0267318,-.62794787,.015099722
0,0,5,5,6,4,5,5,5,6,6,19,1,4,2,0,0,-.38254222,.54157323,-.36614951,.68921769
1,0,7,7,7,4,5,3,3,7,7,18,0,5,1,1,2,1.1685311,1.1306378,-.36819929,-.33507457
1,0,6,5,5,1,1,7,7,5,3,19,1,4,3,1,2,-.038441371,-1.0824909,-2.1782863,1.8124936
1,0,5,5,4,5,6,4,5,5,5,19,1,2,4,1,2,-.91863984,-.22352515,.33744791,.35865057
1,0,6,6,6,3,2,5,6,5,5,20,0,3,1,0,2,.47242421,-.35525352,-1.4162852,.93335986
1,1,4,4,4,4,3,3,4,6,3,19,1,3,1,0,3,-1.5571558,-.49317598,-.73566949,-.39986101
